temp_id,Year,State,Avg_Temperature,state_mergekey
54321,1953,Alabama,17.773,AL
54322,1954,Alabama,17.994,AL
54323,1955,Alabama,17.612,AL
54324,1956,Alabama,17.718,AL
54325,1957,Alabama,17.903,AL
54326,1958,Alabama,16.437,AL
54327,1959,Alabama,17.382,AL
54328,1960,Alabama,16.614,AL
54329,1961,Alabama,16.851,AL
54330,1962,Alabama,17.426,AL
54331,1963,Alabama,16.73,AL
54332,1964,Alabama,17.126,AL
54333,1965,Alabama,17.461,AL
54334,1966,Alabama,16.757,AL
54335,1967,Alabama,16.94,AL
54336,1968,Alabama,16.457,AL
54337,1969,Alabama,16.66,AL
54338,1970,Alabama,17.083,AL
54339,1971,Alabama,17.425,AL
54340,1972,Alabama,17.544,AL
54341,1973,Alabama,17.571,AL
54342,1974,Alabama,17.584,AL
54343,1975,Alabama,17.46,AL
54344,1976,Alabama,16.298,AL
54345,1977,Alabama,17.305,AL
54346,1978,Alabama,16.935,AL
54347,1979,Alabama,16.658,AL
54348,1980,Alabama,17.287,AL
54349,1981,Alabama,17.028,AL
54350,1982,Alabama,17.725,AL
54351,1983,Alabama,16.519,AL
54352,1984,Alabama,17.402,AL
54353,1985,Alabama,17.437,AL
54354,1986,Alabama,18.134,AL
54355,1987,Alabama,17.487,AL
54356,1988,Alabama,16.969,AL
54357,1989,Alabama,17.042,AL
54358,1990,Alabama,18.536,AL
54359,1991,Alabama,18.039,AL
54360,1992,Alabama,17.039,AL
54361,1993,Alabama,17.127,AL
54362,1994,Alabama,17.518,AL
54363,1995,Alabama,17.536,AL
54364,1996,Alabama,17.066,AL
54365,1997,Alabama,17.254,AL
54366,1998,Alabama,18.787,AL
54367,1999,Alabama,18.271,AL
54368,2000,Alabama,17.911,AL
54369,2001,Alabama,17.678,AL
54370,2002,Alabama,18.022,AL
54371,2003,Alabama,17.513,AL
54372,2004,Alabama,17.838,AL
54373,2005,Alabama,17.857,AL
54374,2006,Alabama,18.296,AL
54375,2007,Alabama,18.423,AL
54376,2008,Alabama,17.569,AL
54377,2009,Alabama,17.607,AL
54378,2010,Alabama,17.461,AL
54379,2011,Alabama,18.124,AL
54380,2012,Alabama,18.735,AL
54381,1953,Alaska,-4.586,AK
54382,1954,Alaska,-5.288,AK
54383,1955,Alaska,-6.153,AK
54384,1956,Alaska,-6.896,AK
54385,1957,Alaska,-3.424,AK
54386,1958,Alaska,-4.072,AK
54387,1959,Alaska,-5.471,AK
54388,1960,Alaska,-4.359,AK
54389,1961,Alaska,-5.906,AK
54390,1962,Alaska,-4.057,AK
54391,1963,Alaska,-4.279,AK
54392,1964,Alaska,-6.269,AK
54393,1965,Alaska,-5.347,AK
54394,1966,Alaska,-5.824,AK
54395,1967,Alaska,-4.003,AK
54396,1968,Alaska,-4.915,AK
54397,1969,Alaska,-4.089,AK
54398,1970,Alaska,-5.011,AK
54399,1971,Alaska,-6.615,AK
54400,1972,Alaska,-5.839,AK
54401,1973,Alaska,-5.296,AK
54402,1974,Alaska,-5.967,AK
54403,1975,Alaska,-6.158,AK
54404,1976,Alaska,-4.688,AK
54405,1977,Alaska,-3.974,AK
54406,1978,Alaska,-2.818,AK
54407,1979,Alaska,-3.503,AK
54408,1980,Alaska,-4.293,AK
54409,1981,Alaska,-2.724,AK
54410,1982,Alaska,-4.92,AK
54411,1983,Alaska,-4.121,AK
54412,1984,Alaska,-5.037,AK
54413,1985,Alaska,-4.456,AK
54414,1986,Alaska,-4.137,AK
54415,1987,Alaska,-3.673,AK
54416,1988,Alaska,-3.855,AK
54417,1989,Alaska,-4.04,AK
54418,1990,Alaska,-4.848,AK
54419,1991,Alaska,-3.999,AK
54420,1992,Alaska,-5.104,AK
54421,1993,Alaska,-2.464,AK
54422,1994,Alaska,-4.56,AK
54423,1995,Alaska,-3.559,AK
54424,1996,Alaska,-4.912,AK
54425,1997,Alaska,-3.3,AK
54426,1998,Alaska,-3.063,AK
54427,1999,Alaska,-5.628,AK
54428,2000,Alaska,-3.302,AK
54429,2001,Alaska,-3.728,AK
54430,2002,Alaska,-2.239,AK
54431,2003,Alaska,-2.804,AK
54432,2004,Alaska,-2.737,AK
54433,2005,Alaska,-2.807,AK
54434,2006,Alaska,-4.116,AK
54435,2007,Alaska,-3.252,AK
